dataset_name,agglomerative_clustering_rand_score,agglomerative_clustering_time,dataset_name2,nn_linkage_clustering_rand_score,nn_linkage_clustering_time
segment.arff,0.15001781891840316,0.08762035369873047,segment.arff,0.4186641099392777,36.19550862312317
glass.arff,0.3291256975817167,0.00164947509765625,glass.arff,0.3533971122331473,0.290625
ecoli.arff,0.8943852167732764,0.002356290817260742,ecoli.arff,0.36846126510305616,0.6466288566589355
vowel.arff,0.8054968287526428,0.011482524871826171,vowel.arff,0.735392346110243,6.752103662490844
dermatology.arff,0.6462459764952466,0.003366708755493164,dermatology.arff,0.7099333782468747,1.644517755508423
vehicle.arff,0.5031572173961699,0.011209726333618164,vehicle.arff,0.39760236126848236,5.943916463851929
wisc.arff,0.8417996690134919,0.003854846954345703,wisc.arff,0.4995932792909034,1.3114498615264893
zoo.arff,0.8538866160140269,0.0010387420654296875,zoo.arff,0.8351841028638223,0.0332888126373291
iris.arff,0.8958158605908115,0.0013190269470214843,iris.arff,0.8322616717920045,0.11812052726745606
arrhythmia.arff,0.39037144595098405,0.012747669219970703,arrhythmia.arff,0.5851107666346173,13.671397018432618
thy.arff,0.5903499239295805,0.0015349864959716796,thy.arff,0.733101499673984,0.24926247596740722
sonar.arff,0.5032051282051282,0.002113056182861328,sonar.arff,0.4980026012634708,0.8011824131011963
heart-statlog.arff,0.5035384827206388,0.002248668670654297,heart-statlog.arff,0.5035384827206388,0.5265271186828613
iono.arff,0.5411543184609087,0.0034572601318359373,iono.arff,0.5931395824805566,1.4849203109741211
